ref_name	ref	exp_stag	obs_stag	exp_even	obs_even
SAR11 Surface 1 (Alpha)	SAR11_Surface_1__Alpha__1958_bp_rna	31.5	24.7	9.09	7
OCS155_a (Actino) 	OCS155_a__Actino__1765_bp_rna	15.8	14.7	9.09	7
OCS155_b (Actino)	OCS155_b__Actino__1747_bp_rna	9.01	10.5	NA	NA
Thaumarchaea MGI_a	Taumarchaea_MGI_a_1364_bp_rna	9.01	13.7	9.09	8
Prochlorococcus	Prochlorococcus_2121_bp_rna	6.76	5.41	9.09	7
SAR86 (gamma)	SAR86_a__Gamma__1729_bp_rna	4.5	3.16	9.09	6
AEGEAN-169 (Alpha)	AEGEAN-169_Alpha__1974_bp_rna	2.25	2.57	NA	NA
SAR116_a (Alpha)	SAR116_a__Alpha__1946_bp_rna	2.25	2.37	9.09	8
Euryarchaea MGII	Euryarchea_MGII_1234_bp_rna	1.8	2.23	9.09	9
Flavobacteria	Flavobacteria_2061_bp_rna	1.8	2.74	9.09	14
Planctomyces	Planctomyces_1460_bp_rna	1.8	2.55	9.09	13
SAR116_b (Alpha)	SAR116_b__Alpha__1993_bp_rna	1.8	2.29	NA	NA
SAR202_a (Chloroflexi)	SAR202_a__Chloroflexi__1505_bp_rna	1.8	2.61	9.09	12
Marine Group A (aka SAR406)	Marine_Group_A__aka_SAR406__1992_bp_rna	1.35	1.4	9.09	9
Flavobacteria_Formosa	Flavobacteria_formosa1	0.901	1.65	NA	NA
Flavobacteria_NS9	Flavobacteria_NS9_1483_bp_rna	0.901	1.17	NA	NA
Pseudospirillum (Gamma)	Pseudospirillum__Gamma__2285_bp_rna	0.901	0.831	NA	NA
SAR86_b (Gamma)	SAR86_b__Gamma__1876_bp_rna	0.901	0.56	NA	NA
SAR92 (Gamma)	SAR92__Gamma__2072_bp_rna	0.901	0.645	NA	NA
Thaumarchaea MGI_b	Thaumarchaea_MGI_b_1363_bp_rna	0.901	0.823	NA	NA
Verrucomicrobia	Verrucomicrobia_2087_bp_rna	0.901	0.83	NA	NA
Rhodobacteriaceae (Alpha)	Rhodobacteriaceae__Alpha__1425_bp_rna	0.676	0.493	NA	NA
SAR86_c (Gamma)	SAR86_c__Gamma__1996_bp_rna	0.676	0.449	NA	NA
Flavobacteria_NS5	Flavobacteria_NS5_2093_bp_rna	0.45	0.565	NA	NA
SAR86_d (Gamma)	SAR86_d__Gamma__1942_bp_rna	0.22	0.137	NA	NA
SAR116_c (Alpha)	SAR116_c__Alpha__2045_bp_rna	0.113	0.094	NA	NA
SAR202_b (Chloroflexi)	SAR202_b__Chloroflexi_________1503_bp__________rna	0.113	0.039	NA	NA
